tube,species,mean_temp,temp_var,temp_id,resource,male,REMOVED,KBP,end_data_date,4/10/22,4/11/22,4/12/22,4/13/22,4/14/22,4/15/22,4/16/22,4/17/22,4/18/22,4/19/22,4/20/22,4/21/22,4/22/22,4/23/22,4/24/22,4/25/22,4/26/22,4/27/22,4/28/22,4/29/22,4/30/22,5/1/22,5/2/22,5/3/22,5/4/22,5/5/22,5/6/22,5/7/22,5/8/22,5/9/22,5/10/22,5/11/22,5/12/22,5/13/22,5/14/22,5/15/22,5/16/22,5/17/22,5/18/22,5/19/22,5/20/22,5/21/22,5/22/22,5/23/22,,,,,
100,daphnia,20,6,6V,1,,1,,5/23/22,0,0,0,0,4,0,0,11,0,0,14,0,0,0,5,0,0,9,0,0,13,0,0,16,0,0,14,0,0,14,0,0,0,15,0,0,16,0,0,14,0,0,0,NA,,,,,
101,daphnia,20,14,14V,1,,,,,0,0,0,0,0,0,3,1,0,10,0,0,10,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
102,daphnia,20,14,14V,1,,,,,0,0,0,4,0,0,7,0,0,13,0,0,11,0,0,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
103,daphnia,20,14,14V,1,,,,,0,0,0,4,0,0,8,0,0,0,0,0,6,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
104,daphnia,20,14,14V,1,,,,4/10/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
105,daphnia,20,14,14V,1,,1,,5/18/22,0,0,0,4,0,0,7,0,11,0,0,4,0,0,5,0,0,11,0,0,11,0,11,0,0,6,0,0,0,0,0,0,0,0,10,0,0,12,NA,NA,NA,NA,NA,NA,,,,,
106,daphnia,20,14,14V,1,,,,,0,0,0,6,0,0,0,0,0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
107,daphnia,20,14,14V,1,,,,,0,0,0,2,0,0,8,0,0,12,0,0,7,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
108,daphnia,20,14,14V,1,,,,,0,0,0,0,0,0,4,0,0,10,0,0,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
109,daphnia,20,14,14V,1,,,,,0,0,0,3,0,0,8,0,0,13,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
110,daphnia,20,14,14V,1,1,,,,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
111,daphnia,20,14,14V,1,,1,,5/18/22,0,0,0,1,0,0,8,0,0,13,0,0,8,0,0,0,0,2,0,0,13,0,0,14,0,0,12,0,0,11,0,0,12,0,0,11,0,0,NA,NA,NA,NA,NA,NA,,,,,
112,daphnia,20,14,14V,1,,,,,0,0,0,1,0,0,9,0,0,14,0,0,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
113,daphnia,20,14,14V,1,,,,,0,0,0,0,0,0,1,0,7,2,0,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
114,daphnia,20,14,14V,1,,,,,0,0,0,2,0,0,11,0,0,11,0,0,6,0,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
115,daphnia,20,14,14V,1,,1,,5/18/22,0,0,0,0,0,2,0,0,9,0,0,10,0,0,7,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,,,,
116,daphnia,20,14,14V,1,,,,,0,0,0,5,0,0,0,0,1,10,0,1,6,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
117,daphnia,20,14,14V,1,,,,,0,0,0,4,0,0,7,0,0,10,0,0,7,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
118,daphnia,20,14,14V,1,,,,,0,0,0,0,4,0,1,8,0,10,0,0,3,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
119,daphnia,20,14,14V,1,,,,,0,0,0,4,0,0,7,0,0,11,0,0,7,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
120,daphnia,20,14,14V,1,,,,,0,0,0,0,4,0,4,1,0,0,0,0,4,0,0,10,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
121,daphnia,20,14,14V,1,,,,,0,0,0,5,0,0,6,0,0,6,0,0,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
122,daphnia,20,14,14V,1,,,,,0,0,0,0,0,0,3,0,0,5,0,0,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
123,daphnia,20,14,14V,1,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
124,daphnia,20,14,14V,1,,,,,0,0,0,5,0,0,8,0,0,10,0,0,9,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
125,daphnia,20,14,14V,1,,,,,0,0,0,4,0,0,7,0,0,10,0,0,9,0,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
126,daphnia,20,14,14V,1,,,,,0,0,0,0,0,0,0,0,6,0,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
127,daphnia,20,14,14V,1,,,,,0,0,0,1,0,0,8,0,0,11,0,0,5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
128,daphnia,20,14,14V,1,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
129,daphnia,20,14,14V,1,,,,,0,0,0,2,0,0,8,0,0,10,0,4,5,0,0,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
130,daphnia,20,14,14V,1,,,,,0,0,0,2,0,0,7,0,0,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
131,daphnia,20,14,14V,1,,,,,0,0,0,0,0,5,0,0,8,0,0,7,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
132,daphnia,20,14,14V,1,,,,,0,0,0,0,1,0,4,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
133,daphnia,20,14,14V,1,,,,,0,0,0,0,5,0,0,8,0,0,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
134,daphnia,20,14,14V,1,,,,,0,0,0,0,0,0,0,8,0,4,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
135,daphnia,20,14,14V,1,,,,,0,0,0,2,0,0,8,0,0,11,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
136,daphnia,20,14,14V,1,,,1,5/7/22,0,0,0,5,0,0,7,0,0,8,0,0,8,0,0,9,0,0,12,0,0,13,0,0,16,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
137,daphnia,20,14,14V,1,,,,,0,0,0,3,0,0,0,0,0,10,0,0,8,0,0,7,0,0,9,0,0,11,0,0,13,0,0,13,0,0,9,0,0,4,0,0,0,0,0,0,0,0,0,0,,,,,
138,daphnia,20,14,14V,1,,,,,0,0,0,4,0,0,7,0,0,9,0,0,9,0,0,10,0,0,13,0,5,7,0,8,1,0,0,15,0,12,1,0,12,0,0,0,0,0,0,0,0,0,5,0,,,,,
139,daphnia,20,14,14V,1,,1,,5/23/22,0,0,0,4,0,0,8,0,0,7,0,0,5,0,0,6,0,5,6,0,3,8,0,6,4,0,0,11,0,9,3,0,0,7,0,7,6,0,0,11,0,0,7,NA,,,,,
140,daphnia,20,14,14V,1,,1,,5/23/22,0,0,0,0,4,0,0,6,0,0,5,0,6,0,0,2,0,0,8,0,0,15,0,0,14,0,0,15,0,0,15,0,0,14,0,0,13,0,0,9,1,0,0,NA,,,,,
141,daphnia,20,14,14V,1,,,,,0,0,0,0,2,0,0,1,0,0,7,0,0,8,0,1,0,0,0,0,0,0,0,0,7,0,0,10,0,0,12,0,0,12,0,0,2,0,NA,NA,NA,NA,NA,NA,,,,,
142,daphnia,20,14,14V,1,1,1,,4/30/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
143,daphnia,20,14,14V,1,,,,5/2/22,0,0,0,0,5,0,7,0,0,0,0,0,5,0,0,11,0,0,15,0,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
144,daphnia,20,14,14V,1,,1,,5/23/22,0,0,0,0,5,0,0,8,0,0,11,0,0,9,0,0,10,0,0,14,2,0,14,0,0,10,0,0,11,0,0,13,0,0,16,0,0,8,0,0,10,0,0,NA,,,,,
145,daphnia,20,14,14V,1,1,1,,5/1/22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
146,daphnia,20,14,14V,1,,,,,0,0,0,0,0,4,0,0,7,0,0,4,0,0,0,0,6,0,0,3,6,0,5,3,0,10,2,0,13,0,0,8,0,0,0,3,0,0,0,0,0,NA,NA,NA,,,,,
147,daphnia,20,14,14V,1,1,1,,4/30/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
148,daphnia,20,14,14V,1,,1,,5/23/22,0,0,0,0,0,0,3,0,5,0,0,1,0,0,3,0,0,7,0,0,9,0,0,14,0,0,20,0,0,5,0,0,12,0,0,12,0,0,9,0,0,2,0,NA,,,,,
149,daphnia,20,14,14V,1,,,,,0,0,0,0,3,0,5,0,0,2,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
150,daphnia,20,14,14V,1,,,,,0,0,0,3,1,0,10,0,0,12,0,0,9,0,0,10,0,0,12,0,1,16,0,0,13,0,0,16,0,0,17,0,2,17,0,0,18,0,0,13,0,0,4,NA,,,,,
151,daphnia,15,0,15,0.1,,1,,5/23/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,7,0,0,0,0,5,0,0,0,0,6,0,0,0,0,7,0,0,NA,,,,,
152,daphnia,15,0,15,0.1,,1,,5/23/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,1,0,0,0,5,0,0,0,5,0,0,0,0,7,0,0,0,0,7,0,0,0,0,NA,,,,,
153,daphnia,15,0,15,0.1,,,,,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,5,0,0,0,0,4,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,9,NA,NA,,,,,
154,daphnia,15,0,15,0.1,,,,5/13/22,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
155,daphnia,15,0,15,0.1,,1,,5/23/22,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,8,0,0,0,0,5,0,0,1,0,6,0,0,0,0,6,0,0,0,0,7,NA,,,,,
156,daphnia,15,0,15,0.1,,1,,5/23/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,4,0,0,0,0,4,0,0,0,0,5,0,0,0,0,6,0,0,0,0,NA,,,,,
157,daphnia,15,0,15,0.1,,1,,5/23/22,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,4,0,0,0,0,6,0,0,0,0,7,0,0,0,0,6,0,0,0,0,8,0,NA,,,,,
158,daphnia,15,0,15,0.1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,6,0,0,0,0,6,0,0,0,0,6,0,0,0,0,8,0,,,,,
159,daphnia,15,0,15,0.1,,,,,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
160,daphnia,15,0,15,0.1,,,,4/14/22,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
161,daphnia,15,0,15,0.1,,1,,5/23/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,5,0,0,0,0,6,0,0,0,0,7,0,0,0,NA,,,,,
162,daphnia,15,0,15,0.1,,,,,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
163,daphnia,15,0,15,0.1,,,,,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
164,daphnia,15,0,15,0.1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,4,0,0,0,6,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,,,,,
165,daphnia,15,0,15,0.1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,3,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,6,0,,,,,
166,daphnia,15,0,15,0.1,,,,,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,6,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,,,,,
167,daphnia,15,0,15,0.1,,,,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
168,daphnia,15,0,15,0.1,,,,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
169,daphnia,15,0,15,0.1,,,,4/11/22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
170,daphnia,15,0,15,0.1,,1,,5/18/22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,6,0,0,0,3,3,0,0,0,0,5,0,0,0,0,NA,NA,NA,NA,NA,NA,,,,,
171,daphnia,15,0,15,0.1,,1,,5/18/22,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,6,0,0,0,0,NA,NA,NA,NA,NA,NA,,,,,
172,daphnia,15,0,15,0.1,,,,,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
173,daphnia,15,0,15,0.1,,,,,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
174,daphnia,15,0,15,0.1,1,1,,5/5/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
175,daphnia,15,0,15,0.1,,,,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
176,daphnia,15,0,15,0.1,,1,,5/18/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,,,,
177,daphnia,15,0,15,0.1,,1,,5/18/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,5,0,0,0,6,NA,NA,NA,NA,NA,NA,,,,,
178,daphnia,15,0,15,0.1,,1,,5/18/22,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,5,0,0,0,0,4,0,0,0,0,5,0,0,0,0,NA,NA,NA,NA,NA,NA,,,,,
179,daphnia,15,0,15,0.1,,1,,5/18/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,6,0,0,0,0,5,0,0,0,0,6,NA,NA,NA,NA,NA,NA,,,,,
180,daphnia,15,0,15,0.1,,1,,5/18/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,7,0,0,0,0,7,0,0,0,0,7,0,NA,NA,NA,NA,NA,NA,,,,,
181,daphnia,15,0,15,0.1,,,,,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
182,daphnia,15,0,15,0.1,,,,,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
183,daphnia,15,0,15,0.1,,1,,5/18/22,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,7,0,0,0,0,5,0,0,0,0,5,0,0,0,0,NA,NA,NA,NA,NA,NA,,,,,
184,daphnia,15,0,15,0.1,,1,,5/18/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,6,0,0,0,0,6,0,NA,NA,NA,NA,NA,NA,,,,,
185,daphnia,15,0,15,0.1,,,,,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
186,daphnia,15,0,15,0.1,,,,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
187,daphnia,15,0,15,0.1,,,,,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
188,daphnia,15,0,15,0.1,,,,,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
189,daphnia,15,0,15,0.1,,1,,5/18/22,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,7,0,0,0,0,6,0,0,0,0,6,0,0,0,0,6,0,NA,NA,NA,NA,NA,NA,,,,,
190,daphnia,15,0,15,0.1,,1,,5/18/22,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,4,0,0,0,0,6,0,0,0,0,4,0,0,0,0,6,0,NA,NA,NA,NA,NA,NA,,,,,
191,daphnia,15,0,15,0.1,,,,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
192,daphnia,15,0,15,0.1,,,,4/13/22,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
193,daphnia,15,0,15,0.1,,1,,5/18/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,1,0,0,0,0,5,0,0,0,0,6,NA,NA,NA,NA,NA,NA,,,,,
194,daphnia,15,0,15,0.1,,,,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
195,daphnia,15,0,15,0.1,,1,,5/18/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,6,0,0,0,0,6,0,0,0,0,7,0,0,NA,NA,NA,NA,NA,NA,,,,,
196,daphnia,15,0,15,0.1,,1,,5/18/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,6,0,0,0,0,5,0,0,0,0,6,NA,NA,NA,NA,NA,NA,,,,,
197,daphnia,15,0,15,0.1,,1,,5/18/22,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,1,0,0,0,7,0,0,0,0,6,0,0,0,0,5,0,0,0,0,6,0,NA,NA,NA,NA,NA,NA,,,,,
198,daphnia,15,0,15,0.1,,,,4/14/22,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
199,daphnia,15,0,15,0.1,,1,,5/18/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,,,,
